$\theta$ ($^\circ$),28,29,30,31,32,33,34,35,36
$U_{\theta+}$ (mV),1.3,0.6,0.4,0.3,0.2,0.2,0.3,0.5,0.8
$\theta$ ($^\circ$),27,28,29,30,31,32,33,34,35
$U_{\theta-}$ (mV),5.2,2.4,1.4,1.1,1,1.1,1.2,1.5,1.9
