$U_{\theta+}$ (mV),2.3,0.5,0.1,0,0,0.2,0.6,1.1,2.5
$\theta$ ($^\circ$),7,8,9,10,11,12,13,14,15
$U_{\theta-}$ (mV),10,6.4,2.6,1.1,0.7,0.8,1.2,1.9,3
