$U_{\theta+}$ (mV),13.1,16.6,20.2,21.8,20.9,16.6,12.6,8.9,4.6
$\theta$ ($^\circ$),18,19,20,21,22,23,24,25,26
$U_{\theta-}$ (mV),12,18.2,23,25.2,26.7,24.8,20,15,9.6
